trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,1,2-1-0,0-2-1
1,0,1,1-2-0,0-2-1
2,1,0,2-0-1,2-1-0
3,2,1,2-1-0,2-0-1
4,2,1,0-2-1,0-2-1
5,2,0,2-0-1,1-0-2
6,0,1,1-2-0,1-2-0
7,0,0,0-1-2,2-1-0
8,2,0,1-2-0,1-2-0
9,2,1,0-2-1,2-0-1
10,2,1,2-1-0,2-0-1
11,2,1,0-1-2,2-0-1
12,2,1,0-1-2,1-0-2
13,2,1,2-0-1,0-1-2
14,2,1,2-0-1,1-0-2
15,0,0,1-2-0,0-2-1
16,2,1,1-0-2,1-2-0
17,2,1,1-2-0,0-1-2
18,2,1,1-2-0,2-0-1
19,2,1,0-2-1,0-2-1
20,2,1,1-0-2,2-1-0
21,2,1,2-1-0,1-0-2
22,2,1,0-1-2,1-0-2
23,2,1,1-0-2,0-1-2
24,2,1,0-2-1,1-2-0
25,2,1,2-1-0,0-2-1
26,2,0,2-0-1,0-2-1
27,2,1,0-2-1,1-2-0
28,2,1,1-0-2,0-1-2
29,2,0,1-2-0,1-0-2
