trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,1,2-1-0,2-0-1
1,1,1,2-1-0,0-2-1
2,1,1,0-2-1,1-0-2
3,1,0,0-2-1,2-0-1
4,1,0,1-0-2,0-2-1
5,0,1,0-1-2,2-0-1
6,0,0,2-0-1,1-2-0
7,1,0,2-0-1,2-1-0
8,2,1,2-1-0,0-2-1
9,2,1,1-0-2,1-2-0
10,2,1,2-0-1,1-0-2
11,2,1,2-1-0,0-1-2
12,2,1,1-2-0,1-2-0
13,2,1,1-2-0,2-1-0
14,2,1,0-1-2,2-1-0
15,2,0,0-1-2,1-0-2
16,2,1,0-1-2,2-0-1
17,2,1,0-2-1,0-2-1
18,2,1,2-0-1,2-0-1
19,2,0,2-1-0,0-2-1
20,2,1,1-2-0,0-1-2
21,2,0,1-0-2,1-0-2
22,2,1,1-0-2,0-1-2
23,2,1,0-1-2,2-0-1
24,2,0,2-0-1,0-2-1
25,2,1,0-2-1,1-0-2
26,2,1,2-0-1,2-1-0
27,2,1,0-1-2,2-0-1
28,2,1,1-2-0,0-2-1
29,2,1,1-2-0,1-2-0
