trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,1,1-2-0,2-1-0
1,0,0,1-2-0,2-1-0
2,2,1,0-2-1,2-0-1
3,1,1,2-0-1,0-2-1
4,0,1,0-2-1,2-0-1
5,2,0,2-0-1,0-2-1
6,1,1,1-0-2,1-2-0
7,1,0,1-0-2,0-1-2
8,2,1,2-0-1,0-1-2
9,1,0,0-2-1,2-0-1
10,2,0,1-0-2,0-1-2
11,1,1,0-1-2,0-2-1
12,1,0,2-1-0,2-1-0
13,0,0,2-1-0,1-0-2
14,0,0,1-0-2,2-0-1
15,2,1,0-2-1,0-2-1
16,0,0,1-0-2,0-2-1
17,1,1,2-1-0,1-0-2
18,1,0,0-2-1,1-2-0
19,2,1,1-0-2,0-2-1
20,2,1,2-1-0,1-2-0
21,1,1,0-1-2,2-1-0
22,2,0,0-1-2,0-2-1
23,1,1,1-0-2,1-2-0
24,1,1,1-0-2,1-2-0
25,1,1,1-2-0,0-1-2
26,2,1,1-2-0,0-1-2
27,0,0,2-0-1,0-2-1
28,0,0,2-1-0,0-1-2
29,1,1,1-0-2,2-1-0
